tarkabhāṣā	tarka	bhāṣā
tarkamañjarī	tarka	mañjarī
tarkamudrā	tarka	mudrā
tarkayukta	tarka	yukta
tarkaratna	tarka	ratna
tarkarahasya	tarka	rahasya
tarkavāg-īśa	tarka	vāg-īśa
tarkavāda	tarka	vāda
tarkavid	tarka	vid
tarkavidyā	tarka	vidyā
tarkaśāstra	tarka	śāstra
tarkasaṃgraha	tarka	saṃgraha
tarkasamaya	tarka	samaya
tarkasādhya	tarka	sādhya
tarkā@ṭa	tarka	?
tarkā@nubhāṣā	tarka	?
tarkā@bhāsa	tarka	?
tarkā@mṛta	tarka	?
tarkā@laṃkāra	tarka	?
tarkukarman	tarku	karman
tarkupāṭhī	tarku	pāṭhī
tarkupiṇḍa	tarku	piṇḍa
tarkupīṭha	tarku	pīṭha
tarkulāsaka	tarku	lāsaka
tarkuśāna	tarku	śāna
tarkuṭa	tarkuka	?
tarkiṇa	tarkārī	?
tardmavat	tardma	vat
tardmasamuta	tardma	samuta
tarpaṇavidhi	tarpaṇa	vidhi
tarpaṇe@cchu	tarpaṇa	?
tarṣacetas	tarṣa	cetas
talakoṭa	tala	koṭa
talagata	tala	gata
talaghāta	tala	ghāta
talatas	tala	tas
talatāla	tala	tāla
talatra	tala	tra
talatrāṇa	tala	trāṇa
talaniṣpeṣa	tala	niṣpeṣa
talapuṣpa-puṭa	tala	puṣpa-puṭa
talaprahāra	tala	prahāra
talabaddha	tala	baddha
talamīna	tala	mīna
talamukha	tala	mukha
talayukta	tala	yukta
talayuddha	tala	yuddha
talaloka	tala	loka
talavara	tala	vara
talavāraṇa	tala	vāraṇa
talaśabda	tala	śabda
talasampāta	tala	sampāta
talasāraka	tala	sāraka
talasāraṇa	tala	sāraṇa
talasārika	tala	sārika
talastha	tala	stha
talasthita	tala	sthita
talahṛdaya	tala	hṛdaya
talā@ṅguli-tra-vat	tala	?
talā@cī	tala	?
talā@tala	tala	?
talā-tali	tala	?
talā@rakṣa	tala	?
talā@si	tala	?
talā@hvaya	tala	?
tale@kṣaṇa	tala	?
talo@dara	tala	?
talo@dā	tala	?
talavakāra	talava	kāra
talino@darī	talina	?
talpakīṭa	talpa	kīṭa
talpaga	talpa	ga
talpagiri	talpa	giri
talpaja	talpa	ja
talpaśīvan	talpa	śīvan
talpaśadya	talpa	śadya
talpala	talpana	?
talpeja	talpe	ja
talpeśaya	talpe	śaya
tavasvat	tavas	vat
tavā-gā	tavas	?
tavā-go	tavas	?
taviṣīmat	taviṣī	mat
taviṣīvat	taviṣī	vat
tavyas	tavya	?
taskaratā	taskara	tā
taskaratva	taskara	tva
taskaravat	taskara	vat
taskaravṛtti	taskara	vṛtti
taskarasnāyu	taskara	snāyu
tasthu	tasthivas	?
tākṣaśila	tākṣaṇya	?
tājadbhaṅga	tājat	?
tāḍagha	tāḍa	gha
tāḍaghāta	tāḍa	ghāta
tāḍapattra	tāḍa	pattra
tāḍavakra	tāḍa	vakra
tāḍā@vacara	tāḍa	?
tāḍaṅkīkṛ	tāḍaṅka	?
tāḍayitṛ	tāḍanīya	?
tāḍi	tāḍanīya	?
tāḍīdala	tāḍī	dala
tāḍīpuṭa	tāḍī	puṭa
tāḍula	tāḍī	?
tāṇḍaka	tāṇḍa	?
tāṇḍavatālika	tāṇḍava	?
tāṇḍavapriya	tāṇḍava	priya
tāṇḍin	tāṇḍi	?
taṇḍi-brāhmaṇa	tāṇḍi	?
tāṇḍyabrāhmaṇa	tāṇḍya	brāhmaṇa
tāṇḍyāyana	tāṇḍya	?
tātagu	tāta	gu
tātajanayitrī	tāta	janayitrī
tātatulya	tāta	tulya
tātā@rya	tāta	?
tātkālikatva	tātkālika	tva
tāttvikatva	tāttvika	tva
tātparyatas	tātparya	tas
tātparyanirṇaya	tātparya	nirṇaya
tātparyapariśuddhi	tātparya	pariśuddhi
tātparyabodhinī	tātparya	bodhinī
tātparyavid	tātparya	vid
tātparyā@rtha	tātparya	?
tādītnā	tādāyani	?
tādṛgguṇa	tādṛg	guṇa
tādṛgbhāva	tādṛg	bhāva
tādṛgrūpa	tādṛg	rūpa
tādṛgvidha	tādṛg	vidha
tāddhita	tāddharmya	?
tādvidhya	tādrūpya	?
tānakarman	tāna	karman
tānabhaṭṭa	tāna	bhaṭṭa
tānasvara	tāna	svara
tānavakṛt	tānava	kṛt
tānavyāyanī	tānavya	?
tānūnaptratva	tānūnaptra	tva
tānūnaptrapātra	tānūnaptra	pātra
tā@ntā@nta	tānta	?
tāpakṣetra	tāpa	kṣetra
tāpada	tāpa	da
tāpabhṛt	tāpa	bhṛt
tāpasveda	tāpa	sveda
tāpaharī	tāpa	harī
tāpe@śvara-tīrtha	tāpa	?
tāpatya	tāpaka	?
tāpanīyo@paniṣad	tāpanīya	?
tāpasaja	tāpasa	ja
tāpasataru	tāpasa	taru
tāpasadruma	tāpasa	druma
tāpasapattra	tāpasa	pattra
tāpasapriya	tāpasa	priya
tāpasavatsarāja	tāpasa	vatsarāja
tāpasavṛkṣa	tāpasa	vṛkṣa
tāpasā@dhyuṣita	tāpasa	?
tāpasā@raṇya	tāpasa	?
tāpase@kṣu	tāpasa	?
tāpase@ṣṭa	tāpasa	?
tāpasya	tāpasāyani	?
tāpāyana	tāpasāyani	?
tāpiccha	tāpika	?
tāpiñcha	tāpika	?
tāpiñja	tāpika	?
tāpīja	tāpī	ja
tāpītaṭa	tāpī	taṭa
tāpīmāhātmya	tāpī	māhātmya
tāpīsamudbhava	tāpī	samudbhava
tāpy-uttha-saṃjñaka	tāpī	?
tāpyaka	tāpya	?
tāmarasa	tāma	rasa
tāmalipta	tāma	lipta
tāmaliptaka	tāma	?
tāmalakī	tāmala	?
tāmasakīlaka	tāmasa	kīlaka
tāmasaguṇa	tāmasa	guṇa
tāmasatapaḥ-śīla	tāmasa	tapaḥ-śīla
tāmasalīnā	tāmasa	līnā
tāmasika	tāmasa	?
tāmbūlakaraṅka	tāmbūla	karaṅka
tāmbūlaja	tāmbūla	ja
tāmbūlada	tāmbūla	da
tāmbūladāyaka	tāmbūla	dāyaka
tāmbūladāyinī	tāmbūla	dāyinī
tāmbūladhara	tāmbūla	dhara
tāmbūlapattra	tāmbūla	pattra
tāmbūlapeṭikā	tāmbūla	peṭikā
tāmbūlabhakṣaṇa	tāmbūla	bhakṣaṇa
tāmbūlarāga	tāmbūla	rāga
tāmbūlavallikā	tāmbūla	vallikā
tāmbūlavallī	tāmbūla	vallī
tāmbūlavāhaka	tāmbūla	vāhaka
tāmbūlavāhinī	tāmbūla	vāhinī
tāmbūlavīṭikā	tāmbūla	vīṭikā
tāmbūlā@kta	tāmbūla	?
tāmbūlā@dhikāra	tāmbūla	?
tāmbūlikasarpa	tāmbūlika	sarpa
tāmbūlin	tāmbūlika	?
tāmrakaṇṭaka	tāmra	kaṇṭaka
tāmrakarṇī	tāmra	karṇī
tāmrakāra	tāmra	kāra
tāmrakili	tāmra	kili
tāmrakuṭṭa	tāmra	kuṭṭa
tāmrakuṭṭaka	tāmra	kuṭṭaka
tāmrakuṇḍa	tāmra	kuṇḍa
tāmrakūṭa	tāmra	kūṭa
tāmrakṛmi	tāmra	kṛmi
tāmrakrami	tāmra	krami
tāmragarbha	tāmra	garbha
tāmraguhā	tāmra	guhā
tāmracakṣus	tāmra	cakṣus
tāmracūḍa	tāmra	cūḍa
tāmracūḍaka	tāmra	?
tāmraja	tāmra	ja
tāmrajīva	tāmra	jīva
tāmratanu	tāmra	tanu
tāmratapta	tāmra	tapta
tāmratā	tāmra	tā
tāmratuṇḍa	tāmra	tuṇḍa
tāmratrapu-ja	tāmra	trapu-ja
tāmratva	tāmra	tva
tāmradugdhā	tāmra	dugdhā
tāmradugdhī	tāmra	dugdhī
tāmradru	tāmra	dru
tāmradvīpa	tāmra	dvīpa
tāmradvīpaka	tāmra	?
tāmradhātu	tāmra	dhātu
tāmradhūmra	tāmra	dhūmra
tāmradhvaja	tāmra	dhvaja
tāmranakha	tāmra	nakha
tāmranetra	tāmra	netra
tāmrapakṣa	tāmra	pakṣa
tāmrapaṭṭa	tāmra	paṭṭa
tāmrapattra	tāmra	pattra
tāmrapattraka	tāmra	?
tāmraparṇa	tāmra	parṇa
tāmraparṇi	tāmra	parṇi
tāmraparṇīya	tāmra	parṇīya
tāmrapallava	tāmra	pallava
tāmrapākin	tāmra	pākin
tāmrapātra	tāmra	pātra
tāmrapādī	tāmra	pādī
tāmrapuṣpa	tāmra	puṣpa
tāmrapuṣpaka	tāmra	?
tāmraphala	tāmra	phala
tāmraphalaka	tāmra	phalaka
tāmrabīja	tāmra	bīja
tāmramaya	tāmra	maya
tāmramāraṇa	tāmra	māraṇa
tāmramukha	tāmra	mukha
tāmramūlā	tāmra	mūlā
tāmramṛga	tāmra	mṛga
tāmramṛṣṭā@nulepin	tāmra	mṛṣṭā@nulepin
tāmrarajas	tāmra	rajas
tāmraratha	tāmra	ratha
tāmrarasā	tāmra	rasā
tāmrarasā@yanī	tāmra	rasā@yanī
tāmralipta	tāmra	lipta
tāmraliptaka	tāmra	?
tāmravarṇa	tāmra	varṇa
tāmravarṇaka	tāmra	?
tāmravallī	tāmra	vallī
tāmravṛkṣa	tāmra	vṛkṣa
tāmravṛnta	tāmra	vṛnta
tāmraśāṭīya	tāmra	śāṭīya
tāmraśāsana	tāmra	śāsana
tāmraśikhin	tāmra	śikhin
tāmrasāgara	tāmra	sāgara
tāmrasāra	tāmra	sāra
tāmrasāraka	tāmra	?
tāmrasena	tāmra	sena
tāmrā@kṣa	tāmra	?
tāmrā@khya	tāmra	?
tāmrā@ṭavī	tāmra	?
tāmrā@dhar'oṣṭha	tāmra	?
tāmrā@bha	tāmra	?
tāmrā@yasa	tāmra	?
tāmrā@ruṇa	tāmra	?
tāmrā@rdha	tāmra	?
tāmrā-vatī	tāmra	?
tāmrā@śman	tāmra	?
tāmrā@śva	tāmra	?
tāmro@pajīvin	tāmra	?
tāmroṣṭha	tāmra	?
tāmrāku	tāmraka	?
tāmrika	tāmrāyaṇa	?
tāyādara	tāyana	?
tārakṣiti	tāra	kṣiti
tāraja	tāra	ja
tārataṇḍula	tāra	taṇḍula
tāratama	tāra	tama
tāratāra	tāra	tāra
tāradīrgha	tāra	dīrgha
tāranātha	tāra	nātha
tāranāda	tāra	nāda
tārapaṭṭaka	tāra	paṭṭaka
tārapatana	tāra	patana
tārapāla	tāra	pāla
tārapuṣpa	tāra	puṣpa
tāramākṣika	tāra	mākṣika
tāramūla	tāra	mūla
tāravimalā	tāra	vimalā
tāraśuddhi-kara	tāra	śuddhi-kara
tāraśuddhi-kṛt	tāra	śuddhi-kṛt
tārasāra	tāra	sāra
tārasthāna	tāra	sthāna
tārasvara	tāra	svara
tārahemā@bha	tāra	hemā@bha
tārā-candro@daya	tāra	?
tārā@bha	tāra	?
tārā@bhra	tāra	?
tārā-maitraka	tāra	?
tārā@ri	tāra	?
tārā-vartman	tāra	?
tārā@valī	tāra	?
tārakajaya	tāraka	jaya
tārakajit	tāraka	jit
tārakatīrtha	tāraka	tīrtha
tārakatva	tāraka	tva
tārakadvādaśī	tāraka	dvādaśī
tārakamantra	tāraka	mantra
tārakaripu	tāraka	ripu
tārakavadha	tāraka	vadha
tārakavairin	tāraka	vairin
tārakasūdana	tāraka	sūdana
tārakā@ntaka	tāraka	?
tārakā@ri	tāraka	?
tārako@paniṣad	tāraka	?
tārakā@kṣa	tārakā	?
tārakā@di	tārakā	?
tārakāmaya	tārakā	maya
tārakāmāna	tārakā	māna
tārakārāja	tārakā	rāja
tārake@śvara	tārakā	?
tāraṇi	tāraṇa	?
tārayantī	tāraṇeya	?
tārayitṛ	tāraṇeya	?
tārākavaca	tārā	kavaca
tārākāruṇya	tārā	kāruṇya
tārā@kṣa	tārā	?
tārāgaṇa	tārā	gaṇa
tārāguru	tārā	guru
tārāgraha	tārā	graha
tārācakra	tārā	cakra
tārācandra	tārā	candra
tārācchāya	tārā	cchāya
tārātīrtha	tārā	tīrtha
tārādharma	tārā	dharma
tārā@dhipa	tārā	?
tārā@dhipati	tārā	?
tārā@dhī@śa	tārā	?
tārāpaj-jhaṭikā	tārā	paj-jhaṭikā
tārāpati	tārā	pati
tārāpatha	tārā	patha
tārā@paharaṇa	tārā	?
tārā@pīḍa	tārā	?
tārāpura	tārā	pura
tārāpramāṇa	tārā	pramāṇa
tārābhūṣā	tārā	bhūṣā
tārāmaṇḍala	tārā	maṇḍala
tārāmantra	tārā	mantra
tārāmaya	tārā	maya
tārāmṛga	tārā	mṛga
tārāramaṇa	tārā	ramaṇa
tārārūpa	tārā	rūpa
tārāvatī	tārā	vatī
tārā@valī	tārā	?
tārāvarṣa	tārā	varṣa
tārā@valoka	tārā	?
tārāvākya	tārā	vākya
tārāvilāpa	tārā	vilāpa
tārāvilāsa	tārā	vilāsa
tāre@ndra	tārā	?
tārika	tārāyaṇa	?
tāriṇīkalpa	tāriṇī	kalpa
tāriṇītantra	tāriṇī	tantra
tāralya	tārala	?
tārukṣyāyaṇī	tārukṣya	?
tārkikakārikā	tārkika	kārikā
tārkikacūḍāmaṇi	tārkika	cūḍāmaṇi
tārkikatva	tārkika	tva
tārkikarakṣā	tārkika	rakṣā
tārkikaśiromaṇi	tārkika	śiromaṇi
tārkṣaja	tārkṣa	ja
tārkṣaputra	tārkṣa	putra
tārkṣasuta	tārkṣa	suta
tārkṣaka	tārkṣa	?
tārkṣyaja	tārkṣya	ja
tārkṣyadhvaja	tārkṣya	dhvaja
tārkṣyanāyaka	tārkṣya	nāyaka
tārkṣyanāśaka	tārkṣya	nāśaka
tārkṣyaputra	tārkṣya	putra
tārkṣyaprasava	tārkṣya	prasava
tārkṣyaratna	tārkṣya	ratna
tārkṣyalakṣaṇa	tārkṣya	lakṣaṇa
tārkṣyaśaila	tārkṣya	śaila
tārkṣyasāman	tārkṣya	sāman
tārkṣyasuta	tārkṣya	suta
tārkṣyā@sana	tārkṣya	?
tārkṣyāyaṇabhakta	tārkṣyāyaṇa	bhakta
tārkṣyāyaṇi	tārkṣyāyaṇa	?
tārṇāyana	tārṇabindavīya	?
tārṇi	tārṇabindavīya	?
tārtīyasavanika	tārtīyasavana	?
tārtīyā@hnika	tārtīyasavana	?
tārtīyīkatā	tārtīyīka	tā
tālaketu	tāla	ketu
tālakṣīra	tāla	kṣīra
tālakṣīraka	tāla	kṣīraka
tālagarbha	tāla	garbha
tālacara	tāla	cara
tālaja	tāla	ja
tālajaṅgha	tāla	jaṅgha
tālajaṭā	tāla	jaṭā
tālajña	tāla	jña
tāladruma	tāla	druma
tāladhāraka	tāla	dhāraka
tāladhvaja	tāla	dhvaja
tālanavamī	tāla	navamī
tālapattra	tāla	pattra
tālaparṇa	tāla	parṇa
tālapuṣpaka	tāla	puṣpaka
tālapramāṇa	tāla	pramāṇa
tālapralamba	tāla	pralamba
tālaphala	tāla	phala
tālabaddha	tāla	baddha
tālabhaṅga	tāla	bhaṅga
tālabhaṭa	tāla	bhaṭa
tālabhṛt	tāla	bhṛt
tālamaya	tāla	maya
tālamardaka	tāla	mardaka
tālamardala	tāla	mardala
tālamātra	tāla	mātra
tālamūlikā	tāla	mūlikā
tālamūlī	tāla	mūlī
tālayantra	tāla	yantra
tālarecanaka	tāla	recanaka
tālalakṣman	tāla	lakṣman
tālavana	tāla	vana
tālavalī	tāla	valī
tālavādya	tāla	vādya
tālavṛnta	tāla	vṛnta
tālavṛntaka	tāla	vṛntaka
tālavecanaka	tāla	vecanaka
tālaśabda	tāla	śabda
tālaśīla	tāla	śīla
tālaśuddha	tāla	śuddha
tālasvana	tāla	svana
tālā@khyā	tāla	?
tālā@ṅka	tāla	?
tālā@ṅga	tāla	?
tālā@di	tāla	?
tālā@dhyāya	tāla	?
tālā@pacara	tāla	?
tālā@vacara	tāla	?
tālā@vacaraṇa	tāla	?
tālo@dghāṭinī	tāla	?
tālo@paniṣad	tāla	?
tālakā@bha	tālaka	?
tālake@śvara	tālaka	?
tālitanagara	tālita	nagara
tālin	tālita	?
tālīpaṭṭa	tālī	paṭṭa
tālīpattra	tālī	pattra
tālīpuṭa	tālī	puṭa
tālīrasa-ja	tālī	rasa-ja
tālī@śa	tālī	?
tālī@śa-pattra	tālī	?
tālī@śaka	tālī	?
tālukaṇṭaka	tālu	kaṇṭaka
tālugala-praśoṣa	tālu	gala-praśoṣa
tāluja	tālu	ja
tālujihva	tālu	jihva
tālujihvikā	tālu	jihvikā
tālunāśa	tālu	nāśa
tālupāka	tālu	pāka
tālupāta	tālu	pāta
tālupīḍaka	tālu	pīḍaka
tālupuppuṭa	tālu	puppuṭa
tālumūla	tālu	mūla
tāluvidradhī	tālu	vidradhī
tāluviśoṣaṇa	tālu	viśoṣaṇa
tāluśoṣa	tālu	śoṣa
tālusthāna	tālu	sthāna
tālūṣaka	tāluka	?
tāvacchata	tāvac	chata
tāvacchas	tāvac	chas
tāvatkālam	tāvat	kālam
tāvatkṛtvas	tāvat	kṛtvas
tāvattāt	tāvat	tāt
tāvatpriya	tāvat	priya
tāvatphala	tāvat	phala
tāvatsūtra	tāvat	sūtra
tāvatitha	tāvatika	?
tāvatka	tāvatika	?
tāvadguṇa	tāvad	guṇa
tāvadguṇita	tāvad	guṇita
tāvaddvayasa	tāvad	dvayasa
tāvaddhā	tāvad	dhā
tāvadvarṣa	tāvad	varṣa
tāvadvidha	tāvad	vidha
tāvadvīrya-vat	tāvad	vīrya-vat
tāvadvyakta	tāvad	vyakta
tāvanmātra	tāvan	mātra
tāvanmāna	tāvan	māna
tāvanta	tāvan	?
tāvuri	tāvura	?
tāvuru	tāvura	?
tikakitava	tika	kitava
tikā@di	tika	?
tiṅanta	tiṅ	anta
tiṅsub-anta-caya	tiṅ	sub-anta-caya
tiktakandakā	tikta	kandakā
tiktakandikā	tikta	kandikā
tiktagandhā	tikta	gandhā
tiktaguñjā	tikta	guñjā
tiktaghṛta	tikta	ghṛta
tiktataṇḍulā	tikta	taṇḍulā
tiktatuṇḍī	tikta	tuṇḍī
tiktatumbī	tikta	tumbī
tiktadugdhā	tikta	dugdhā
tiktadhātu	tikta	dhātu
tiktapattra	tikta	pattra
tiktaparvan	tikta	parvan
tiktapuṣpā	tikta	puṣpā
tiktaphala	tikta	phala
tiktabījā	tikta	bījā
tiktabhadraka	tikta	bhadraka
tiktamarica	tikta	marica
tiktayavā	tikta	yavā
tiktarohiṇikā	tikta	rohiṇikā
tiktarohiṇī	tikta	rohiṇī
tiktavallī	tikta	vallī
tiktaśāka	tikta	śāka
tiktasāra	tikta	sāra
tiktā@khyā	tikta	?
tiktā@ṅgā	tikta	?
tiktā@mṛtā	tikta	?
tiktā@yana	tikta	?
tiktā@sya	tikta	?
tiktāya	tiktaka	?
tigmakara	tigma	kara
tigmaketu	tigma	ketu
tigmaga	tigma	ga
tigmagati	tigma	gati
tigmagu	tigma	gu
tigmajambha	tigma	jambha
tigmatā	tigma	tā
tigmatejana	tigma	tejana
tigmatejas	tigma	tejas
tigmadīdhiti	tigma	dīdhiti
tigmadyuti	tigma	dyuti
tigmadhāra	tigma	dhāra
tigmanemi	tigma	nemi
tigmabhās	tigma	bhās
tigmabhṛṣṭi	tigma	bhṛṣṭi
tigmamanyu	tigma	manyu
tigmamayūkha-mālin	tigma	mayūkha-mālin
tigmamūrdhan	tigma	mūrdhan
tigmayātana	tigma	yātana
tigmaraśmi	tigma	raśmi
tigmaruc	tigma	ruc
tigmaruci	tigma	ruci
tigmarocis	tigma	rocis
tigmavat	tigma	vat
tigmavīrya	tigma	vīrya
tigmavega	tigma	vega
tigmaśṛṅga	tigma	śṛṅga
tigmaśocis	tigma	śocis
tigmaheti	tigma	heti
tigmā@ṃśu	tigma	?
tigmā@tman	tigma	?
tigmā@nīka	tigma	?
tigmā@yudha	tigma	?
tigme@ṣu	tigma	?
titikṣita	titikṣa	?
tiṭilambha	tiṭibha	?
titīrṣu	titīrṣā	?
tittiraja	tittira	ja
tittiravallara	tittira	vallara
tittirā@ṅga	tittira	?
tittiritva	tittiri	tva
tithikṣaya	tithi	kṣaya
tithitattva	tithi	tattva
tithidāna	tithi	dāna
tithidevatā	tithi	devatā
tithidvaita	tithi	dvaita
tithidvaidha-prakaraṇa	tithi	dvaidha-prakaraṇa
tithiniyama	tithi	niyama
tithinirṇaya	tithi	nirṇaya
tithipati	tithi	pati
tithipattrī	tithi	pattrī
tithipālana	tithi	pālana
tithiprakaraṇa	tithi	prakaraṇa
tithipraṇī	tithi	praṇī
tithipralaya	tithi	pralaya
tithivāra-yoga	tithi	vāra-yoga
tithiviveka	tithi	viveka
tithisāraṇikā	tithi	sāraṇikā
tithī@śa	tithi	?
tithyanta-nirṇaya	tithy	anta-nirṇaya
tithyardha	tithy	ardha
tintiḍīdyūta	tintiḍī	dyūta
tintiḍīphala	tintiḍī	phala
tindubilva	tindu	bilva
tindukinī	tinduki	?
tindula	tinduki	?
tema	timita	?
timikośa	timi	kośa
timighātin	timi	ghātin
timiṃ-gira	timi	ṃ-gira
timiṃ-gila	timi	ṃ-gila
timija	timi	ja
timitimiṃ-gila	timi	timiṃ-gila
timidhvaja	timi	dhvaja
timimālin	timi	mālin
timiśatru	timi	śatru
timiracchid	timira	cchid
timiratā	timira	tā
timiranayana	timira	nayana
timiranāśana	timira	nāśana
timiranud	timira	nud
timirapaṭala	timira	paṭala
timirapratiṣedha	timira	pratiṣedha
timiramaya	timira	maya
timiraripu	timira	ripu
timiravana	timira	vana
timirā@kula	timira	?
timirā@pagata	timira	?
timirā@paha	timira	?
timirā@ri	timira	?
timiro@dghāṭa	timira	?
timirau@gha	timira	?
timiṣa	timiśa	?
tiraḥkṛ	tiraḥ	?
tiraḥprātiveśya	tiraḥ	prātiveśya
tiraścatā	tiraśca	tā
tiraścathā	tiraśca	thā
tiraścirāji	tiraści	rāji
tiraścīnanidhana	tiraścīna	nidhana
tiraścīnapṛśni	tiraścīna	pṛśni
tiraścīnavaṃśa	tiraścīna	vaṃśa
tiraścīnavāya	tiraścīna	vāya
tiraścya	tiraścīna	?
tiraskara	tiras	kara
tiraskaraṇi	tiras	karaṇi
tiraskarin	tiras	karin
tiraskāra	tiras	kāra
tiraskārin	tiras	kārin
tiraskuḍya	tiras	kuḍya
tiraskṛ	tiras	?
tiraskṛta	tiras	kṛta
tiraskṛti	tiras	kṛti
tiraskriyā	tiras	kriyā
tiraspaṭa	tiras	paṭa
tirasprākāra	tiras	prākāra
tiroahniya	tiro	ahniya
tiroahnya	tiro	ahnya
tirogata	tiro	gata
tirojanam	tiro	janam
tirodhā	tiro	?
tirodhā	tiro	dhā
tirodhātavya	tiro	dhātavya
tirodhāna	tiro	dhāna
tirobhavitṛ	tiro	bhavitṛ
tirobhāva	tiro	bhāva
tirobhū	tiro	?
tirovarṣa	tiro	varṣa
tirohita	tiro	hita
tiro'hnya	tiro	'hnya
tiryaga	tirya	ga
tiryakkāram	tiryak	kāram
tiryakkṛtya	tiryak	kṛtya
tiryakkṣipta	tiryak	kṣipta
tiryaktā	tiryak	tā
tiryaktva	tiryak	tva
tiryakpātana	tiryak	pātana
tiryakpātin	tiryak	pātin
tiryakpratimukhā@gata	tiryak	pratimukhā@gata
tiryakpramāṇa	tiryak	pramāṇa
tiryakpre@kṣaṇa	tiryak	pre@kṣaṇa
tiryakpre@kṣin	tiryak	pre@kṣin
tiryakphalā	tiryak	phalā
tiryaksūtra	tiryak	sūtra
tiryaksrotas	tiryak	srotas
tiryaganūka	tiryag	anūka
tiryagantara	tiryag	antara
tiryagapaccheda	tiryag	apaccheda
tiryagapā@ṅga	tiryag	apā@ṅga
tiryagayana	tiryag	ayana
tiryagākṛti	tiryag	ākṛti
tiryagāgata	tiryag	āgata
tiryagāyata	tiryag	āyata
tiryagīkṣa	tiryag	īkṣa
tiryagīśa	tiryag	īśa
tiryagga	tiryag	ga
tiryaggata	tiryag	gata
tiryaggati	tiryag	gati
tiryaggama	tiryag	gama
tiryaggamana	tiryag	gamana
tiryaggāmin	tiryag	gāmin
tiryagguṇana	tiryag	guṇana
tiryaggrīvam	tiryag	grīvam
tiryagghātin	tiryag	ghātin
tiryagja	tiryag	ja
tiryagjana	tiryag	jana
tiryagjāti	tiryag	jāti
tiryagjyā	tiryag	jyā
tiryagḍīna	tiryag	ḍīna
tiryagdiś	tiryag	diś
tiryagdhāra	tiryag	dhāra
tiryagnāsa	tiryag	nāsa
tiryagbila	tiryag	bila
tiryagbhedā	tiryag	bhedā
tiryagyavo@dara	tiryag	yavo@dara
tiryagyāta	tiryag	yāta
tiryagyāna	tiryag	yāna
tiryagyona	tiryag	yona
tiryagyoni	tiryag	yoni
tiryagvalana	tiryag	valana
tiryagvāta-sevā	tiryag	vāta-sevā
tiryagviddha	tiryag	viddha
tiryagvisaṃsarpin	tiryag	visaṃsarpin
tiryaṅnāsa	tiryaṅ	nāsa
tiryaṅniraya	tiryaṅ	niraya
tiryaṅmānī	tiryaṅ	mānī
tiryadryañc	tiryañc	?
tirīṭaka	tirīṭa	?
tirīṭin	tirīṭa	?
tilakaṭa	tila	kaṭa
tilakaṇa	tila	kaṇa
tilakalka	tila	kalka
tilakārṣika	tila	kārṣika
tilakālaka	tila	kālaka
tilakiṭṭa	tila	kiṭṭa
tilakhali	tila	khali
tilakhalī	tila	khalī
tilagañji	tila	gañji
tilagañjin	tila	gañjin
tilagrāma	tila	grāma
tilacaturthī	tila	caturthī
tilacitra-pattraka	tila	citra-pattraka
tilacūrṇa	tila	cūrṇa
tilataṇḍulaka	tila	taṇḍulaka
tilatejā@hvā	tila	tejā@hvā
tilataila	tila	taila
tilade@śvara-tīrtha	tila	de@śvara-tīrtha
tiladroṇa-maya	tila	droṇa-maya
tiladvādaśī	tila	dvādaśī
tiladhenu	tila	dhenu
tiladhenukā	tila	dhenukā
tilaṃ-tuda	tila	ṃ-tuda
tilaparṇa	tila	parṇa
tilaparṇaka	tila	?
tilaparṇika	tila	?
tilapiccaṭa	tila	piccaṭa
tilapiñja	tila	piñja
tilapīḍa	tila	pīḍa
tilapuṣpa	tila	puṣpa
tilapuṣpaka	tila	puṣpaka
tilapeja	tila	peja
tilabhāra	tila	bhāra
tilabhāvinī	tila	bhāvinī
tilabhṛṣṭa	tila	bhṛṣṭa
tilamaya	tila	maya
tilamayūra	tila	mayūra
tilamāṣa	tila	māṣa
tilamiśra	tila	miśra
tilamiśla	tila	miśla
tilarasa	tila	rasa
tilavatsa	tila	vatsa
tilavratin	tila	vratin
tilaśama	tila	?
tilaśas	tila	śas
tilaśikhin	tila	śikhin
tilasambaddha	tila	sambaddha
tilasṛṣṭa	tila	sṛṣṭa
tilasnāyin	tila	snāyin
tilasneha	tila	sneha
tilahoma	tila	homa
tilahomin	tila	?
tilā@ṃśa	tila	?
tilā@ṅkita-dala	tila	?
tilā@nna	tila	?
tilā@patyā	tila	?
tilā@mbu	tila	?
tilo@ttamā	tila	?
tilo@daka	tila	?
tilo@dakin	tila	?
tilo@dana	tila	?
tilo@dara	tila	?
tilau@dana	tila	?
tilakamañjarī	tilaka	mañjarī
tilakarāja	tilaka	rāja
tilakalatā	tilaka	latā
tilakavatī	tilaka	vatī
tilakavrata	tilaka	vrata
tilakasiṃha	tilaka	siṃha
tilakā@cārya	tilaka	?
tilakā-vala	tilaka	?
tilakā@śraya	tilaka	?
tilake@śvara-tīrtha	tilaka	?
tilako@ttara	tilaka	?
tiṣṭhadgu	tiṣṭhad	gu
tiṣṭhaddhoma	tiṣṭhad	dhoma
tiṣyaketu	tiṣya	ketu
tiṣyagupta	tiṣya	gupta
tiṣyapunarvasavīya	tiṣya	?
tiṣyapunarvasu	tiṣya	punarvasu
tiṣyapuṣpā	tiṣya	puṣpā
tiṣyaphalā	tiṣya	phalā
tiṣyarakṣitā	tiṣya	rakṣitā
